zip,surge_cat1_share,surge_cat3_share
05463,0,0
05464,0,0
05465,0,0
05468,0,0
05471,0,0
05472,0,0
05473,0,0
05474,0,0
05476,0,0
05477,0,0
05478,0,0
05481,0,0
05482,0,0
05483,0,0
05485,0,0
05486,0,0
05487,0,0
05488,0,0
05489,0,0
05491,0,0
05492,0,0
05494,0,0
05495,0,0
05602,0,0
05640,0,0
05641,0,0
05647,0,0
05648,0,0
05649,0,0
05650,0,0
05651,0,0
05652,0,0
05653,0,0
05654,0,0
05655,0,0
05656,0,0
05658,0,0
05660,0,0
05661,0,0
05663,0,0
05664,0,0
05666,0,0
05667,0,0
05669,0,0
05670,0,0
05672,0,0
05673,0,0
05674,0,0
05675,0,0
05676,0,0
05677,0,0
05678,0,0
05679,0,0
05680,0,0
05681,0,0
05682,0,0
05701,0,0
05730,0,0
05731,0,0
05732,0,0
05733,0,0
05734,0,0
05735,0,0
05736,0,0
05737,0,0
05738,0,0
05739,0,0
05742,0,0
05743,0,0
05744,0,0
05746,0,0
05747,0,0
05748,0,0
05751,0,0
05753,0,0
05757,0,0
05758,0,0
05759,0,0
05760,0,0
05761,0,0
05762,0,0
05763,0,0
05764,0,0
05765,0,0
05766,0,0
05767,0,0
05768,0,0
05769,0,0
05770,0,0
05772,0,0
05773,0,0
05774,0,0
05775,0,0
05776,0,0
05777,0,0
05778,0,0
05819,0,0
05820,0,0
05821,0,0
05822,0,0
05824,0,0
05825,0,0
05826,0,0
05827,0,0
05828,0,0
05829,0,0
05830,0,0
05832,0,0
05833,0,0
05836,0,0
05837,0,0
05839,0,0
05840,0,0
05841,0,0
05842,0,0
05843,0,0
05845,0,0
05846,0,0
05847,0,0
05850,0,0
05851,0,0
05853,0,0
05855,0,0
05857,0,0
05858,0,0
05859,0,0
05860,0,0
05862,0,0
05866,0,0
05867,0,0
05868,0,0
05871,0,0
05872,0,0
05873,0,0
05874,0,0
05875,0,0
05901,0,0
05902,0,0
05903,0,0
05904,0,0
05905,0,0
05906,0,0
05907,0,0
06001,0,0
06002,0,0
06010,0,0
06013,0,0
