place,name,buildings_direct,buildings_indirect,risk_national_rank
0119024,"Cullomburg, AL",1,0,0.751
0119216,"Cusseta, AL",1,0,0.805
0119336,"Dadeville, AL",0.731,0.259,0.842
0119360,"Daleville, AL",0.558,0.442,0.489
0119648,"Daphne, AL",0.577,0.421,0.823
0119744,"Dauphin Island, AL",0.257,0,0.888
0119816,"Daviston, AL",0.995,0.005,0.851
0119912,"Dayton, AL",1,0,0.597
0120008,"Deatsville, AL",0.639,0.361,0.602
0120104,"Decatur, AL",0.244,0.214,0.408
0120152,"Deer Park, AL",1,0,0.866
0120272,"Delta, AL",0.988,0,0.911
0120296,"Demopolis, AL",0.329,0.669,0.542
0120392,"Detroit, AL",0.883,0.117,0.575
0120955,"Dodge City, AL",0.792,0.208,0.739
0121136,"Dora, AL",0.858,0.142,0.76
0121184,"Dothan, AL",0.376,0.397,0.544
0121280,"Double Springs, AL",0.779,0.217,0.742
0121328,"Douglas, AL",0.868,0.132,0.712
0121448,"Dozier, AL",0.837,0.163,0.564
0121890,"Dunnavant, AL",1,0,0.775
0121952,"Dutton, AL",0.765,0.235,0.729
0122088,"Eagle Point, AL",0.352,0.648,0.664
0122216,"East Brewton, AL",0.674,0.326,0.798
0122504,"East Point, AL",0.71,0.29,0.668
0122816,"Eclectic, AL",0.853,0.147,0.814
0123032,"Edgewater, AL",0.377,0.623,0.714
0123176,"Edwardsville, AL",0.865,0.135,0.853
0123224,"Egypt, AL",0.996,0.004,0.779
0123296,"Elba, AL",0.711,0.289,0.537
0123320,"Elberta, AL",0.685,0.307,0.857
0123344,"Eldridge, AL",0.947,0.053,0.719
0123488,"Elkmont, AL",0.783,0.217,0.35
0123656,"Elmore, AL",0.736,0.264,0.589
0123872,"Emelle, AL",0.784,0.216,0.602
0123880,"Emerald Mountain, AL",0.857,0.143,0.644
0124184,"Enterprise, AL",0.395,0.489,0.538
0124256,"Epes, AL",0.964,0.036,0.582
0124280,"Equality, AL",1,0,0.852
0124472,"Ethelsville, AL",1,0,0.574
0124568,"Eufaula, AL",0.561,0.427,0.664
0124616,"Eunola, AL",0.976,0.024,0.633
0124664,"Eutaw, AL",0.635,0.365,0.567
0124688,"Eva, AL",0.915,0.085,0.698
0124808,"Evergreen, AL",0.848,0.152,0.771
0124880,"Excel, AL",0.807,0.193,0.673
0125120,"Fairfield, AL",0.05,0.002,0.588
0125216,"Fairford, AL",1,0,0.885
0125240,"Fairhope, AL",0.529,0.308,0.832
0125384,"Fairview, AL",0.865,0.135,0.666
0125648,"Falkville, AL",0.457,0.543,0.517
0125816,"Faunsdale, AL",0.683,0.317,0.585
0125840,"Fayette, AL",0.531,0.469,0.562
0125864,"Fayetteville, AL",0.947,0.009,0.807
0126152,"Fitzpatrick, AL",,,
0126200,"Five Points, AL",0.871,0.129,0.794
0126824,"Flomaton, AL",0.614,0.386,0.836
0126848,"Florala, AL",0.666,0.334,0.759
0126896,"Florence, AL",0.302,0.538,0.515
0126992,"Foley, AL",0.456,0.228,0.824
0127088,"Forestdale, AL",0.61,0.39,0.686
0127376,"Forkland, AL",1,0,0.556
0127520,"Fort Deposit, AL",0.845,0.155,0.58
0127616,"Fort Payne, AL",0.55,0.449,0.817
0127640,"Fort Rucker, AL",0.183,0.817,0.464
0128024,"Franklin, AL",1,0,0.738
0128120,"Fredonia, AL",1,0,0.781
0128312,"Frisco City, AL",0.673,0.327,0.685
0128408,"Fruitdale, AL",0.956,0.044,0.854
0128432,"Fruithurst, AL",0.81,0.19,0.831
0128504,"Fulton, AL",0.809,0.191,0.598
0128552,"Fultondale, AL",0.554,0.441,0.696
0128672,"Fyffe, AL",0.788,0.185,0.783
0128696,"Gadsden, AL",0.232,0.459,0.744
0128768,"Gainesville, AL",0.903,0.097,0.526
0128816,"Gallant, AL",1,0,0.77
0128936,"Gantt, AL",0.786,0.209,0.667
0129032,"Garden City, AL",0.745,0.255,0.728
0129056,"Gardendale, AL",0.565,0.435,0.734
0129296,"Gaylesville, AL",0.861,0.139,0.835
0129392,"Geiger, AL",0.737,0.263,0.599
0129464,"Geneva, AL",0.625,0.375,0.645
0129560,"Georgiana, AL",0.754,0.246,0.602
0129608,"Geraldine, AL",0.82,0.174,0.783
0129704,"Gilbertown, AL",0.876,0.124,0.636
0129944,"Glen Allen, AL",0.962,0.038,0.649
0129992,"Glencoe, AL",0.652,0.345,0.814
0130160,"Glenwood, AL",0.91,0.09,0.524
0130448,"Goldville, AL",1,0,0.876
0130496,"Good Hope, AL",0.596,0.404,0.685
0130640,"Goodwater, AL",0.914,0.086,0.895
0130736,"Gordo, AL",0.645,0.355,0.564
0130760,"Gordon, AL",0.934,0.066,0.661
0130808,"Gordonville, AL",1,0,0.604
0130880,"Goshen, AL",0.643,0.357,0.495
0131000,"Graham, AL",1,0,0.866
0131024,"Grand Bay, AL",0.971,0.029,0.923
0131096,"Grant, AL",0.686,0.314,0.676
0131348,"Grayson Valley, AL",0.42,0.58,0.669
0131384,"Graysville, AL",0.737,0.263,0.754
0131720,"Greensboro, AL",0.594,0.406,0.616
0131912,"Greenville, AL",0.665,0.335,0.571
0132056,"Grimes, AL",0.625,0,0.423
0132080,"Grove Hill, AL",0.756,0.244,0.651
0132224,"Guin, AL",0.696,0.304,0.599
0132248,"Gulfcrest, AL",1,0,0.887
0132272,"Gulf Shores, AL",0.289,0.667,0.924
0132416,"Guntersville, AL",0.507,0.445,0.686
0132440,"Gurley, AL",0.518,0.482,0.451
0132536,"Gu-Win, AL",1,0,0.598
0132560,"Hackleburg, AL",0.814,0.186,0.644
0132584,"Hackneyville, AL",1,0,0.889
0132656,"Haleburg, AL",0.938,0.062,0.624
0132704,"Haleyville, AL",0.518,0.482,0.678
0132848,"Hamilton, AL",0.726,0.274,0.593
0132896,"Hammondville, AL",0.992,0.008,0.829
0132968,"Hanceville, AL",0.414,0.586,0.716
0133064,"Hanover, AL",0.948,0.052,0.893
0133256,"Harpersville, AL",0.893,0.107,0.78
0133424,"Hartford, AL",0.416,0.537,0.556
0133448,"Hartselle, AL",0.516,0.484,0.469
0133472,"Harvest, AL",0.672,0.129,0.285
0133544,"Hatton, AL",0.779,0.221,0.485
0133640,"Hayden, AL",0.895,0.103,0.758
0133712,"Hayneville, AL",0.849,0.151,0.589
0133808,"Hazel Green, AL",0.647,0.149,0.163
0133856,"Headland, AL",0.451,0.513,0.525
0133904,"Heath, AL",0.994,0.006,0.7
0133976,"Heflin, AL",0.812,0.188,0.828
0134024,"Helena, AL",0.391,0.532,0.693
0134096,"Henagar, AL",0.941,0.059,0.828
0134480,"Highland Lake, AL",0.954,0.003,0.769
0134490,"Highland Lakes, AL",0.462,0.537,0.715
0134816,"Hillsboro, AL",0.697,0.186,0.291
0134984,"Hissop, AL",1,0,0.876
0135130,"Hobson, AL",1,0,0.813
0135152,"Hobson City, AL",0.539,0.461,0.756
0135200,"Hodges, AL",0.844,0.156,0.633
0135392,"Hokes Bluff, AL",0.792,0.205,0.833
0135512,"Hollins, AL",1,0,0.897
0135536,"Hollis Crossroads, AL",0.995,0.005,0.915
0135560,"Holly Pond, AL",0.835,0.165,0.713
0135632,"Hollywood, AL",0.853,0.147,0.722
0135704,"Holt, AL",0.581,0.419,0.601
0135752,"Holtville, AL",0.873,0.094,0.655
0135800,"Homewood, AL",0.301,0.143,0.592
0135896,"Hoover, AL",0.384,0.405,0.67
0136088,"Horn Hill, AL",1,0,0.714
0136448,"Hueytown, AL",0.438,0.445,0.705
0136592,"Huguley, AL",0.83,0.17,0.749
0137000,"Huntsville, AL",0.211,0.494,0.284
0137096,"Hurtsboro, AL",0.543,0.457,0.764
0137264,"Hytop, AL",0.992,0.008,0.705
0137312,"Ider, AL",0.891,0.109,0.811
0137465,"Indian Springs Village, AL",0.917,0.083,0.685
0137864,"Irondale, AL",0.544,0.448,0.698
0138032,"Ivalee, AL",0.961,0.039,0.782
0138152,"Jackson, AL",0.69,0.31,0.712
0138248,"Jacksons' Gap, AL",0.989,0.011,0.851
0138272,"Jacksonville, AL",0.349,0.651,0.842
0138416,"Jasper, AL",0.657,0.343,0.738
0138608,"Jemison, AL",0.816,0.184,0.817
0139064,"Joppa, AL",0.905,0.095,0.687
0139280,"Kansas, AL",1,0,0.706
0139472,"Kellyton, AL",1,0,0.882
0139520,"Kennedy, AL",0.816,0.184,0.577
0139784,"Killen, AL",0.713,0.287,0.542
0139856,"Kimberly, AL",0.839,0.161,0.757
0140072,"Kinsey, AL",0.682,0.317,0.589
0140096,"Kinston, AL",0.613,0.387,0.624
0140648,"Ladonia, AL",0.434,0.566,0.634
0140672,"La Fayette, AL",0.712,0.288,0.791
0140888,"Lakeview, AL",1,0,0.765
0140928,"Lake View, AL",0.815,0.174,0.723
0141296,"Lanett, AL",0.298,0.636,0.757
0141368,"Langston, AL",0.886,0.061,0.737
0141968,"Leeds, AL",0.533,0.412,0.75
0142016,"Leesburg, AL",0.701,0.245,0.808
0142160,"Leighton, AL",0.417,0,0.219
0142304,"Leroy, AL",0.899,0.101,0.764
0142352,"Lester, AL",1,0,0.459
0142472,"Level Plains, AL",0.59,0.41,0.508
0142640,"Lexington, AL",0.69,0.31,0.514
0142808,"Libertyville, AL",1,0,0.739
0142928,"Lillian, AL",0.724,0.275,0.903
0143120,"Lincoln, AL",0.861,0.1,0.818
0143240,"Linden, AL",0.621,0.379,0.571
0143264,"Lineville, AL",0.872,0.128,0.898
0143336,"Lipscomb, AL",0.347,0.611,0.639
0143384,"Lisman, AL",0.995,0.005,0.586
0143648,"Littleville, AL",0.785,0.215,0.518
0143720,"Livingston, AL",0.7,0.3,0.582
0143744,"Loachapoka, AL",0.891,0.109,0.836
0143816,"Lockhart, AL",0.847,0.153,0.767
0143888,"Locust Fork, AL",0.899,0.101,0.754
0144160,"Lookout Mountain, AL",0.995,0.005,0.803
0144344,"Louisville, AL",0.72,0.28,0.629
0144536,"Lowndesboro, AL",1,0,0.57
0144608,"Loxley, AL",0.526,0.472,0.873
0144728,"Luverne, AL",0.699,0.301,0.538
0144800,"Lynn, AL",0.83,0.17,0.722
0145040,"McCalla, AL",0.694,0.306,0.717
0145208,"McDonald Chapel, AL",0.287,0.627,0.687
0145316,"Macedonia, AL",1,0,0.594
0145472,"McIntosh, AL",0.863,0.137,0.845
0145496,"McKenzie, AL",0.915,0.085,0.66
0145640,"McMullen, AL",1,0,0.54
0145784,"Madison, AL",0.198,0.168,0.243
0145904,"Madrid, AL",0.965,0.035,0.599
0146072,"Magnolia Springs, AL",0.94,0.057,0.834
0146192,"Malcolm, AL",1,0,0.855
0146264,"Malvern, AL",0.829,0.169,0.548
0146504,"Maplesville, AL",0.692,0.308,0.67
0146600,"Marbury, AL",0.975,0.025,0.654
0146696,"Margaret, AL",0.78,0.22,0.78
0146768,"Marion, AL",0.823,0.177,0.647
0147728,"Maytown, AL",1,0,0.762
0147740,"Meadowbrook, AL",0.679,0.273,0.646
0147848,"Megargel, AL",0.438,0.562,0.754
0148052,"Memphis, AL",1,0,0.524
0148064,"Mentone, AL",1,0,0.816
0148112,"Meridianville, AL",0.45,0.544,0.184
0148376,"Midfield, AL",0.169,0.055,0.58
0148400,"Midland City, AL",0.478,0.492,0.51
0148424,"Midway, AL",0.753,0.247,0.754
0148616,"Mignon, AL",0.575,0.425,0.753
0148712,"Millbrook, AL",0.583,0.416,0.578
0148784,"Millerville, AL",0.982,0.018,0.905
0148808,"Millport, AL",0.694,0.306,0.573
0148832,"Millry, AL",0.882,0.118,0.777
0149072,"Minor, AL",0.565,0.423,0.71
0150000,"Mobile, AL",0.464,0.112,0.855
0150192,"Monroeville, AL",0.713,0.287,0.697
0150312,"Montevallo, AL",0.624,0.376,0.745
0151000,"Montgomery, AL",0.245,0.285,0.569
0151096,"Moody, AL",0.588,0.412,0.765
0151216,"Moores Mill, AL",0.635,0.29,0.198
0151264,"Mooresville, AL",0.865,0,0.239
0151456,"Morris, AL",0.755,0.245,0.761
0151469,"Morrison Crossroads, AL",1,0,0.891
0151520,"Mosses, AL",0.893,0.107,0.586
0151600,"Moulton, AL",0.584,0.416,0.512
0151648,"Moundville, AL",0.638,0.362,0.595
0151696,"Mountain Brook, AL",0.74,0.089,0.644
0152320,"Mount Olive (Coosa), AL",1,0,0.9
0152344,"Mount Olive (Jefferson), AL",0.902,0.098,0.745
0152608,"Mount Vernon, AL",0.923,0.077,0.871
0152680,"Movico, AL",1,0,0.881
0152776,"Mulga, AL",0.359,0.639,0.745
0152848,"Munford, AL",0.861,0.139,0.839
0153016,"Muscle Shoals, AL",0.191,0.376,0.287
0153112,"Myrtlewood, AL",1,0,0.58
0153208,"Nanafalia, AL",0.99,0.01,0.594
0153232,"Nances Creek, AL",1,0,0.888
0153256,"Napier Field, AL",0.141,0.039,0.436
0153376,"Natural Bridge, AL",0.867,0.133,0.741
0153400,"Nauvoo, AL",0.812,0.188,0.729
0153448,"Nectar, AL",0.997,0.003,0.751
0153472,"Needham, AL",1,0,0.618
0153784,"Newbern, AL",1,0,0.624
0153856,"New Brockton, AL",0.717,0.283,0.554
0154168,"New Hope, AL",0.727,0.273,0.428
0154312,"New Market, AL",0.776,0.224,0.459
0154432,"New Site, AL",0.995,0.005,0.867
0154480,"Newton, AL",0.834,0.166,0.518
0154582,"New Union, AL",1,0,0.759
0154600,"Newville, AL",0.695,0.297,0.562
0154696,"Nixburg, AL",1,0,0.874
0155044,"North Courtland, AL",0.163,0,0.191
0155152,"North Johns, AL",0.896,0.104,0.752
0155200,"Northport, AL",0.368,0.346,0.568
0155440,"Notasulga, AL",0.877,0.123,0.791
0155752,"Oak Grove, AL",0.799,0.201,0.789
0155848,"Oak Hill, AL",1,0,0.601
0155992,"Oakman, AL",0.767,0.233,0.753
0156400,"Odenville, AL",0.874,0.126,0.782
0156472,"Ohatchee, AL",0.839,0.107,0.825
0157000,"Oneonta, AL",0.405,0.595,0.732
0157024,"Onycha, AL",0.973,0.027,0.702
0157048,"Opelika, AL",0.452,0.337,0.822
0157120,"Opp, AL",0.663,0.296,0.672
0157144,"Orange Beach, AL",0.212,0.641,0.92
0157240,"Orrville, AL",0.91,0.09,0.609
0157384,"Our Town, AL",1,0,0.852
0157504,"Owens Cross Roads, AL",0.524,0.476,0.361
0157576,"Oxford, AL",0.684,0.252,0.81
0157648,"Ozark, AL",0.733,0.266,0.505
0157696,"Paint Rock, AL",0.736,0.264,0.48
0157912,"Panola, AL",1,0,0.585
0158272,"Parrish, AL",0.691,0.309,0.755
0158680,"Pea Ridge, AL",1,0,0.746
0158848,"Pelham, AL",0.413,0.448,0.713
0158896,"Pell City, AL",0.669,0.3,0.797
0158968,"Pennington, AL",0.95,0.05,0.569
0159016,"Penton, AL",1,0,0.814
0159064,"Perdido, AL",0.995,0.005,0.876
0159088,"Perdido Beach, AL",0.861,0.129,0.893
0159232,"Peterman, AL",0.904,0.096,0.651
0159328,"Petrey, AL",1,0,0.533
0159472,"Phenix City, AL",0.209,0.487,0.65
0159496,"Phil Campbell, AL",0.765,0.235,0.692
0159592,"Pickensville, AL",0.913,0.063,0.551
0159640,"Piedmont, AL",0.368,0.632,0.857
0159760,"Pike Road, AL",0.611,0.387,0.652
0159832,"Pinckard, AL",0.738,0.262,0.534
0159880,"Pine Apple, AL",1,0,0.609
0160240,"Pine Hill, AL",0.927,0.073,0.614
0160264,"Pine Level, AL",0.9,0.1,0.632
0160372,"Pine Ridge, AL",0.936,0.064,0.804
0160648,"Pinson, AL",0.733,0.245,0.729
0160720,"Pisgah, AL",0.88,0.12,0.817
0161008,"Pleasant Grove, AL",0.453,0.547,0.693
0161038,"Pleasant Groves, AL",1,0,0.667
0161488,"Point Clear, AL",0.897,0.089,0.863
0161536,"Pollard, AL",0.796,0.204,0.803
0162075,"Powell, AL",0.885,0.115,0.789
0162328,"Prattville, AL",0.403,0.432,0.577
0162472,"Priceville, AL",0.534,0.465,0.425
0162496,"Prichard, AL",0.467,0.103,0.848
0162688,"Providence, AL",1,0,0.577
0162952,"Putnam, AL",1,0,0.568
0163216,"Ragland, AL",0.923,0.077,0.815
0163288,"Rainbow City, AL",0.544,0.436,0.763
0163336,"Rainsville, AL",0.763,0.172,0.802
0163408,"Ranburne, AL",0.866,0.134,0.88
0163495,"Ray, AL",0.987,0.013,0.871
0163576,"Red Bay, AL",0.518,0.482,0.621
0163730,"Redland, AL",0.901,0.099,0.635
0163768,"Red Level, AL",0.912,0.088,0.711
0163912,"Redstone Arsenal, AL",0.324,0.676,0.332
0163984,"Reece City, AL",0.978,0.022,0.78
0164040,"Reeltown, AL",0.981,0.019,0.792
0164104,"Reform, AL",0.706,0.294,0.545
0164152,"Rehobeth, AL",0.879,0.12,0.578
0164248,"Remlap, AL",0.977,0.023,0.769
0164368,"Repton, AL",0.829,0.171,0.811
0164656,"Ridgeville, AL",0.956,0.044,0.788
0164776,"River Falls, AL",0.967,0.033,0.7
0164920,"Riverside, AL",0.889,0.056,0.795
0165016,"Riverview, AL",0.986,0.014,0.818
0165040,"Roanoke, AL",0.523,0.477,0.801
0165208,"Robertsdale, AL",0.543,0.457,0.785
0165412,"Rock Creek, AL",0.891,0.109,0.748
0165472,"Rockford, AL",0.826,0.174,0.874
0165592,"Rock Mills, AL",0.866,0.134,0.79
0165784,"Rockville, AL",1,0,0.809
0166216,"Rogersville, AL",0.662,0.338,0.486
0166408,"Rosa, AL",1,0,0.766
0167056,"Russellville, AL",0.398,0.601,0.562
0167176,"Rutledge, AL",0.895,0.105,0.547
0167536,"St. Florian, AL",0.927,0.073,0.56
0167584,"St. Stephens, AL",0.992,0.005,0.772
0167608,"Saks, AL",0.805,0.106,0.8
0167800,"Samson, AL",0.5,0.5,0.617
0167920,"Sand Rock, AL",0.928,0.072,0.821
0168016,"Sanford, AL",0.929,0.071,0.73
0168160,"Saraland, AL",0.762,0.238,0.893
0168280,"Sardis City, AL",0.859,0.141,0.762
0168352,"Satsuma, AL",0.787,0.213,0.889
0168736,"Scottsboro, AL",0.595,0.393,0.683
0169000,"Section, AL",0.785,0.215,0.72
0169120,"Selma, AL",0.284,0.675,0.549
0169180,"Selmont-West Selmont, AL",0.424,0.576,0.502
0169240,"Semmes, AL",0.881,0.119,0.877
0169648,"Sheffield, AL",0.246,0.497,0.384
0169672,"Shelby, AL",0.973,0.027,0.86
0169840,"Shiloh, AL",0.857,0.143,0.8
0169978,"Shoal Creek, AL",0.46,0.539,0.768
0170128,"Shorter, AL",0.928,0.072,0.676
0170416,"Silas, AL",0.938,0.062,0.708
0170536,"Silverhill, AL",0.782,0.218,0.822
0170632,"Sims Chapel, AL",,,
0170704,"Sipsey, AL",0.643,0.357,0.764
0170896,"Skyline, AL",0.971,0.029,0.702
0171040,"Slocomb, AL",0.678,0.3,0.589
0171190,"Smiths Station, AL",0.682,0.318,0.71
0171201,"Smoke Rise, AL",0.997,0.003,0.747
0171280,"Snead, AL",0.694,0.267,0.675
0171496,"Somerville, AL",0.877,0.123,0.475
0171832,"Southside, AL",0.689,0.281,0.797
0171900,"South Vinemont, AL",0.312,0.688,0.676
0171976,"Spanish Fort, AL",0.628,0.36,0.883
0172408,"Spring Garden, AL",0.851,0.149,0.846
0172600,"Springville, AL",0.764,0.236,0.768
0172672,"Spruce Pine, AL",0.769,0.231,0.666
0172720,"Standing Rock, AL",1,0,0.769
0172816,"Stapleton, AL",0.967,0.033,0.891
0172888,"Steele, AL",0.87,0.13,0.798
0173056,"Sterrett, AL",0.978,0.02,0.81
0173080,"Stevenson, AL",0.504,0.494,0.754
0173152,"Stewartville, AL",1,0,0.899
0173272,"Stockton, AL",0.998,0.002,0.869
0173728,"Sulligent, AL",0.708,0.292,0.562
0173848,"Sumiton, AL",0.645,0.355,0.758
0173872,"Summerdale, AL",0.616,0.108,0.746
0174160,"Susan Moore, AL",0.945,0.055,0.73
0174304,"Sweet Water, AL",0.828,0.172,0.601
0174352,"Sylacauga, AL",0.585,0.415,0.821
0174400,"Sylvania, AL",0.888,0.112,0.819
0174424,"Sylvan Springs, AL",0.931,0.069,0.767
0174592,"Talladega, AL",0.569,0.414,0.799
0174616,"Talladega Springs, AL",1,0,0.801
0174688,"Tallassee, AL",0.541,0.457,0.702
0174976,"Tarrant, AL",0.21,0.57,0.637
0175096,"Taylor, AL",0.536,0.445,0.553
0175768,"Theodore, AL",0.718,0.282,0.878
0175936,"Thomaston, AL",0.822,0.178,0.606
0175960,"Thomasville, AL",0.726,0.274,0.58
0176080,"Thorsby, AL",0.763,0.237,0.699
0176200,"Tibbie, AL",1,0,0.855
0176208,"Tidmore Bend, AL",0.953,0.041,0.792
0176320,"Tillmans Corner, AL",0.79,0.207,0.841
0176584,"Town Creek, AL",0.455,0.136,0.387
0176632,"Toxey, AL",0.917,0.083,0.614
0176680,"Trafford, AL",0.847,0.153,0.762
0176824,"Triana, AL",0.276,0.724,0.334
0176872,"Trinity, AL",0.749,0.18,0.384
0176920,"Troy, AL",0.492,0.508,0.578
0176944,"Trussville, AL",0.564,0.436,0.728
0177256,"Tuscaloosa, AL",0.338,0.214,0.629
0177280,"Tuscumbia, AL",0.325,0.493,0.414
0177304,"Tuskegee, AL",0.613,0.385,0.722
0177352,"Twin, AL",1,0,0.621
0177580,"Underwood-Petersville, AL",0.833,0.167,0.577
0177616,"Union, AL",1,0,0.559
0177784,"Union Grove, AL",0.812,0.188,0.679
0177880,"Union Springs, AL",0.456,0.544,0.736
